model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,512,5000,640000,5120000,2.86,366.19,2929.48,3295.67,940116.68,949707.34,507111.81,1369746.96,1718816.45,772226.78,760551.37,342894.34,1207710.48,1551995.32,,,158.24,163.42,198.66,924.25,150.95,142.84,158.54,555.01
meta-llama/Llama-3.1-8B,1024,5000,640000,5120000,2.80,358.67,2869.34,3228.00,991268.14,990483.07,569177.61,1433781.44,1783051.40,690686.48,751376.50,333638.94,1200501.95,1664785.62,,,232.52,353.72,407.45,974.88,191.18,160.98,230.84,974.58
meta-llama/Llama-3.1-8B,2048,5000,640000,5120000,2.66,340.80,2726.41,3067.21,1043324.22,1070186.63,553050.25,1495686.46,1868278.39,611358.72,728967.17,15519.83,1115037.30,1507107.86,,,335.59,495.40,831.12,1026.65,172.85,145.79,226.43,1194.96
meta-llama/Llama-3.1-8B,4096,5000,640000,5120000,2.30,294.59,2356.69,2651.28,1169137.26,1157461.42,621516.69,1715071.03,2164721.57,793764.28,874887.20,15514.61,1460892.22,1914754.02,,,261.74,400.27,833.54,1150.05,137.44,127.88,170.78,832.47
meta-llama/Llama-3.1-8B,8192,5000,640000,5120000,0.33,41.88,335.04,376.92,7654551.26,7642122.73,3831435.27,11476623.79,15124203.05,7533655.99,7571889.69,3716495.12,11374580.13,14998286.18,,,106.24,123.09,189.92,7544.25,63.42,63.03,64.16,171.77
meta-llama/Llama-3.1-8B,512,5000,640000,5120000,2.87,367.45,2939.62,3307.07,937066.46,947051.04,507669.32,1363244.38,1712648.78,769824.23,760900.42,343028.32,1200801.38,1544517.88,,,157.96,162.12,198.78,921.25,150.37,142.46,157.86,554.89
meta-llama/Llama-3.1-8B,1024,5000,640000,5120000,2.82,361.34,2890.74,3252.08,985367.45,985434.79,567326.23,1425015.03,1769872.75,686921.34,748299.02,332755.70,1192371.84,1652691.72,,,230.93,350.47,405.79,969.08,189.41,158.59,231.05,904.13
meta-llama/Llama-3.1-8B,2048,5000,640000,5120000,2.67,341.51,2732.10,3073.61,1041689.21,1067412.30,554362.65,1490230.37,1864326.48,609973.64,727883.47,15706.04,1112121.09,1501466.86,,,335.42,494.59,829.41,1025.04,172.54,145.71,226.43,1234.03
