model_path,output_len,timestamp,evicted_token
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:46,10
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:46,9
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:46,8
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:46,8
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:46,8
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:46,9
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:46,9
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:47,10
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:47,10
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:47,10
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:47,10
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:47,8
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:47,127
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:47,127
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:48,9
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:48,9
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:48,9
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:48,9
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:48,10
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:48,10
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:48,9
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:49,9
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:49,9
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:49,125
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:49,126
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:49,126
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:49,12
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:49,13
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:49,13
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:49,12
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:49,121
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:49,13
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:50,15
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:50,13
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:50,14
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:50,127
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:50,15
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:50,16
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:50,16
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:50,15
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:51,15
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:51,15
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:51,16
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:51,15
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:51,15
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:51,14
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:51,11
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:51,10
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:51,9
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:52,7
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:52,4
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:52,5
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:52,128
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:53,6
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:53,6
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:53,8
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:53,7
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:53,128
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:53,128
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:53,9
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:53,9
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:53,9
Qwen/Qwen3-1.7B,512,2025-11-22 13:51:54,10
