model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,32,5000,640000,640000,21.25,2719.66,2719.66,5439.32,118677.77,119242.02,61678.22,176791.92,231370.83,117344.51,117829.52,60271.42,175372.97,230051.28,10.50,10.39,10.38,11.09,11.14,944.74,10.37,10.17,10.56,89.29
meta-llama/Llama-3.1-8B,16,5000,640000,640000,11.93,1527.05,1527.05,3054.09,210258.00,210530.90,106816.45,314230.99,413943.53,208999.21,209264.20,105550.28,312965.91,412677.99,9.91,9.97,9.96,10.04,10.24,1669.00,9.81,9.65,9.98,46.61
meta-llama/Llama-3.1-8B,8,5000,640000,640000,6.39,817.69,817.69,1635.39,392124.56,392070.38,197483.99,586773.42,773944.47,390934.76,390870.93,196286.24,585574.95,772745.55,9.37,9.44,9.43,9.44,11.70,3129.96,9.43,9.28,9.59,28.54
meta-llama/Llama-3.1-8B,4,5000,640000,640000,3.27,418.78,418.78,837.57,764724.27,764628.03,383312.61,1146127.57,1512325.71,763540.77,763440.37,382125.21,1144940.07,1511139.20,9.32,9.35,9.34,9.35,9.57,6060.29,9.34,9.22,9.48,28.09
