model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,512,4997,639616,5116928,0.66,84.38,675.08,759.46,3980825.91,4051797.34,2127874.72,5800663.35,7330224.63,3249900.37,3233804.96,1413543.60,5085005.01,6578714.74,714.49,701.20,689.96,715.19,850.94,3911.32,656.65,642.96,676.45,1674.64
meta-llama/Llama-3.1-8B,1024,4997,639616,5116928,0.79,100.92,807.36,908.28,3439370.07,3390180.44,1925892.01,4939990.29,6324861.82,2365351.16,2561909.42,1117530.42,4111746.01,5629683.75,1049.87,1109.41,809.85,1257.15,1437.60,3379.77,700.45,665.19,739.28,2386.11
meta-llama/Llama-3.1-8B,2048,4997,639616,5116928,0.70,89.31,714.47,803.78,3755203.67,3786011.64,1880136.87,5394313.91,7125971.90,2147549.93,2526008.70,25195.78,3939610.56,5400188.44,1571.51,1437.85,1265.76,1844.10,2941.82,3693.85,677.76,645.97,738.99,2809.60
meta-llama/Llama-3.1-8B,4096,4997,639616,5116928,0.50,63.96,511.65,575.60,5120619.90,5017567.59,2678959.50,7630054.43,9744286.86,3431046.48,3683201.10,25282.64,6343229.80,8428205.98,1651.59,1374.86,1221.84,1823.58,3577.80,5034.87,649.88,630.43,688.26,2232.47
