model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,32,5000,640000,640000,14.05,1798.49,1798.49,3596.99,178568.11,179135.29,92043.91,266819.37,349916.61,176529.31,177063.78,89910.32,264758.69,347816.45,16.05,16.23,16.00,16.35,17.50,1421.41,15.83,15.27,16.58,50.20
meta-llama/Llama-3.1-8B,16,5000,640000,640000,8.62,1103.93,1103.93,2207.85,290186.04,289649.60,147053.73,434354.55,572610.82,288434.96,287905.58,145296.75,432599.97,570816.34,13.79,13.92,13.72,14.06,14.44,2299.85,13.54,13.14,13.97,48.15
meta-llama/Llama-3.1-8B,8,5000,640000,640000,4.68,598.46,598.46,1196.91,533757.20,532711.54,266826.01,799917.13,1057330.12,532112.22,531035.95,264945.28,798238.20,1055644.83,12.95,13.10,12.83,13.17,13.36,4226.55,12.74,12.43,13.05,39.43
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.60,332.60,332.60,665.20,963345.82,963380.24,482549.73,1443845.80,1903639.33,961865.65,961922.81,481004.78,1442385.12,1902168.98,11.65,11.64,11.52,11.86,12.14,7637.57,11.46,11.24,11.67,37.49
