model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,32,5000,640000,640000,8.77,1122.28,1122.28,2244.57,281439.00,283589.80,138341.34,423818.18,561566.14,278031.56,279938.30,134714.43,420569.74,557997.68,,,25.82,28.41,29.66,2252.98,26.32,24.60,27.93,87.49
meta-llama/Llama-3.1-8B,16,5000,640000,640000,4.89,625.92,625.92,1251.84,498580.45,488927.47,242576.44,753111.85,1010785.81,495459.97,485953.16,239433.90,749877.44,1007367.26,,,23.64,26.08,27.22,3990.50,24.48,23.08,25.66,79.75
meta-llama/Llama-3.1-8B,8,5000,640000,640000,2.50,319.64,319.64,639.27,1014683.21,1023348.76,503819.17,1530511.03,1982466.98,1011568.01,1020102.19,500796.14,1527405.83,1979583.14,,,23.47,25.92,27.92,8098.47,24.54,23.16,25.95,77.99
meta-llama/Llama-3.1-8B,4,5000,640000,640000,1.23,156.89,156.89,313.79,2020599.04,2010243.92,985172.24,3051014.73,4038700.96,2017399.70,2006873.76,981876.07,3047813.56,4035547.69,,,24.40,26.37,27.38,16096.80,25.33,24.17,26.32,78.40
