model_path,output_len,timestamp,evicted_token
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:22,133
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:22,133
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:23,508
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:23,135
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:23,137
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:23,137
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:23,127
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:23,140
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:24,127
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:24,140
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:24,127
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:25,138
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:25,140
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:25,139
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:26,141
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:26,142
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:26,142
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:26,142
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:26,142
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:26,142
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:26,142
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:26,142
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:26,142
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:26,142
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:26,142
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:26,142
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:27,142
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:27,126
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:27,382
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:27,145
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:28,145
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:28,145
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:28,146
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:28,145
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:29,148
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:29,148
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:29,148
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:29,148
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:29,148
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:29,147
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:31,127
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:32,248
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:33,127
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:33,143
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:34,253
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:35,491
Qwen/Qwen3-1.7B,512,2025-11-21 11:41:35,146
