model_path,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.65,13478.93,421.22,13900.15,1380701.99,1370070.50,701892.32,2056701.68,2708151.66,1344557.35,1347184.29,677211.77,2012180.39,2657801.49,141.74,86.24,67.77,104.67,861.68,5557.20,48.36,46.05,49.86,446.55
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.64,13410.95,419.09,13830.04,1382805.74,1362770.35,704943.04,2062008.48,2723387.69,1346697.89,1340144.09,680903.72,2015920.83,2673335.69,141.60,85.50,66.93,103.97,869.13,5542.72,48.84,46.83,50.36,287.90
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.63,13343.82,416.99,13760.81,1391369.17,1376818.10,703672.01,2077426.41,2736821.86,1355262.65,1354031.94,678478.23,2031167.43,2688688.90,141.59,85.88,67.36,104.35,622.15,5592.65,49.19,47.97,50.67,313.45
