model_path,max_num_seqs,mean_noncc,min_noncc,max_noncc,std_dev_noncc,cv_noncc
meta-llama/Llama-3.1-8B,512,3301.37,3295.67,3307.07,8.061017305526867,0.002441718833552951
meta-llama/Llama-3.1-8B,1024,3240.04,3228.0,3252.08,17.02713129097201,0.005255222556194371
meta-llama/Llama-3.1-8B,2048,3070.41,3067.21,3073.61,4.525483399594129,0.001473901986898808
meta-llama/Llama-3.1-8B,4096,2651.28,2651.28,2651.28,,
meta-llama/Llama-3.1-8B,8192,376.92,376.92,376.92,,
