output_len,model_path,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
512,Qwen/Qwen3-1.7B,4997.0,639616.0,2558464.0,3.99,510.89,2043.56,2554.45,4692.5,4684.06,4512.45,4854.51,5379.22,49.44,47.19,44.49,50.44,72.97,9.09,9.07,8.74,9.4,10.41,9.17,8.16,7.82,8.61,29.03
1024,Qwen/Qwen3-1.7B,4997.0,639616.0,5116928.0,3.97,507.86,4062.9,4570.77,12170.11,12071.99,11616.43,12720.33,14535.04,55.05,52.71,49.53,56.54,79.19,11.84,11.75,11.3,12.38,14.15,11.9,10.63,10.02,11.34,30.95
2048,Qwen/Qwen3-1.7B,4997.0,639616.0,10233856.0,2.39,306.24,4899.85,5206.09,442592.54,367686.7,199987.15,677942.38,1136561.29,240105.19,263777.84,106713.83,358195.24,514289.23,98.92,36.5,16.01,187.54,396.63,217.45,16.19,14.4,17.23,37.87
4096,Qwen/Qwen3-1.7B,4997.0,639616.0,20467712.0,0.64,82.09,2627.01,2709.1,3681232.25,3681612.91,1796413.96,6021786.97,7108831.61,2309998.96,2137214.4,1079262.8,3644273.44,4755187.85,334.86,15.29,14.03,657.11,1420.47,920.83,15.22,12.68,16.5,31.76
8192,Qwen/Qwen3-1.7B,3594.0,460032.0,29442048.0,0.16,20.13,1288.46,1308.59,12663561.02,13602613.59,6740179.15,18937790.35,21418794.93,6204123.04,5853623.82,2461736.27,9260115.83,15342780.23,788.6,50.64,14.69,1686.67,1934.63,1616.22,15.62,12.94,16.56,35.01
