[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA H100 PCIe
 Range Mode

 Host to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1024				0.4
   103424			17.1
   205824			26.1
   308224			29.8
   410624			33.8
   513024			39.9
   615424			36.6
   717824			40.7
   820224			39.5
   922624			46.1
   1025024			45.6
   1127424			47.1
   1229824			43.2
   1332224			44.7
   1434624			45.6
   1537024			48.1
   1639424			45.2
   1741824			46.7
   1844224			47.8
   1946624			49.6
   2049024			47.7
   2151424			48.1
   2253824			50.2
   2356224			48.2
   2458624			48.1
   2561024			49.3
   2663424			51.8
   2765824			50.0
   2868224			51.5
   2970624			49.6
   3073024			49.4
   3175424			51.1
   3277824			51.7
   3380224			50.1
   3482624			51.2
   3585024			51.6
   3687424			52.8
   3789824			51.5
   3892224			51.8
   3994624			52.8
   4097024			51.2
   4199424			51.8
   4301824			52.4
   4404224			50.9
   4506624			51.4
   4609024			51.9
   4711424			53.2
   4813824			52.2
   4916224			52.7
   5018624			53.1
   5121024			52.3
   5223424			52.6
   5325824			53.2
   5428224			51.8
   5530624			52.0
   5633024			52.6
   5735424			53.6
   5837824			52.8
   5940224			52.6
   6042624			53.2
   6145024			52.6
   6247424			52.1
   6349824			52.7
   6452224			54.0
   6554624			53.3
   6657024			53.4
   6759424			54.1
   6861824			53.1
   6964224			53.3
   7066624			53.4
   7169024			52.7
   7271424			52.9
   7373824			53.2
   7476224			53.9
   7578624			53.5
   7681024			53.5
   7783424			54.1
   7885824			53.6
   7988224			53.3
   8090624			53.8

 Device to Host Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1024				0.6
   103424			26.9
   205824			37.6
   308224			41.8
   410624			44.3
   513024			46.3
   615424			47.8
   717824			48.8
   820224			49.3
   922624			48.3
   1025024			48.1
   1127424			49.8
   1229824			49.4
   1332224			50.6
   1434624			50.4
   1537024			51.2
   1639424			50.9
   1741824			51.7
   1844224			51.1
   1946624			52.0
   2049024			51.5
   2151424			52.1
   2253824			52.2
   2356224			52.4
   2458624			52.6
   2561024			52.6
   2663424			52.7
   2765824			52.8
   2868224			52.9
   2970624			53.0
   3073024			53.1
   3175424			53.1
   3277824			53.2
   3380224			53.3
   3482624			53.3
   3585024			53.4
   3687424			53.4
   3789824			53.5
   3892224			53.5
   3994624			53.6
   4097024			53.6
   4199424			53.6
   4301824			53.6
   4404224			53.6
   4506624			53.7
   4609024			53.6
   4711424			53.7
   4813824			53.8
   4916224			53.8
   5018624			53.9
   5121024			53.8
   5223424			53.9
   5325824			54.0
   5428224			54.0
   5530624			53.9
   5633024			54.1
   5735424			54.1
   5837824			54.0
   5940224			54.1
   6042624			54.2
   6145024			53.9
   6247424			54.2
   6349824			54.3
   6452224			54.1
   6554624			54.1
   6657024			54.2
   6759424			53.8
   6861824			54.3
   6964224			54.3
   7066624			54.3
   7169024			54.2
   7271424			54.1
   7373824			54.2
   7476224			53.8
   7578624			54.1
   7681024			54.4
   7783424			54.0
   7885824			53.9
   7988224			54.4
   8090624			53.9

 Device to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1024				0.5
   103424			53.8
   205824			106.9
   308224			157.9
   410624			209.8
   513024			256.1
   615424			303.4
   717824			347.8
   820224			375.9
   922624			413.9
   1025024			426.7
   1127424			235.7
   1229824			248.1
   1332224			274.3
   1434624			303.9
   1537024			316.1
   1639424			447.5
   1741824			466.7
   1844224			541.1
   1946624			597.2
   2049024			628.4
   2151424			632.5
   2253824			685.4
   2356224			664.9
   2458624			723.3
   2561024			744.6
   2663424			746.5
   2765824			788.1
   2868224			867.9
   2970624			893.8
   3073024			926.6
   3175424			978.3
   3277824			996.2
   3380224			959.4
   3482624			1004.5
   3585024			1079.8
   3687424			1047.3
   3789824			1172.3
   3892224			1073.1
   3994624			1191.9
   4097024			1178.8
   4199424			1193.7
   4301824			1265.5
   4404224			1272.5
   4506624			1295.4
   4609024			1339.1
   4711424			1381.8
   4813824			1441.3
   4916224			1414.1
   5018624			1454.4
   5121024			1532.4
   5223424			1514.6
   5325824			1624.3
   5428224			1502.4
   5530624			1554.2
   5633024			1660.9
   5735424			1652.7
   5837824			1684.8
   5940224			1666.4
   6042624			1679.4
   6145024			1707.6
   6247424			1812.1
   6349824			1932.4
   6452224			1740.2
   6554624			1938.1
   6657024			1779.6
   6759424			1726.0
   6861824			1943.6
   6964224			2012.7
   7066624			2103.5
   7169024			2028.5
   7271424			1991.7
   7373824			2013.0
   7476224			2013.9
   7578624			2109.0
   7681024			2171.6
   7783424			2225.3
   7885824			2230.0
   7988224			2228.7
   8090624			2261.6

Result = PASS

NOTE: The CUDA Samples are not meant for performance measurements. Results may vary when GPU Boost is enabled.
