[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA H100 PCIe
 Range Mode

 Host to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1024				0.4
   1049600			46.2
   2098176			46.5
   3146752			52.1
   4195328			51.3
   5243904			52.3
   6292480			52.8
   7341056			53.3
   8389632			53.8
   9438208			54.0
   10486784			53.9
   11535360			54.6
   12583936			54.5
   13632512			54.8
   14681088			54.8
   15729664			54.7
   16778240			54.6
   17826816			54.6
   18875392			54.9
   19923968			54.6
   20972544			54.7
   22021120			54.8
   23069696			55.2
   24118272			55.2
   25166848			54.8
   26215424			54.9
   27264000			55.1
   28312576			55.1
   29361152			55.3
   30409728			55.3
   31458304			55.4
   32506880			55.2
   33555456			55.2
   34604032			55.3
   35652608			55.1
   36701184			55.2
   37749760			55.3
   38798336			55.3
   39846912			55.3
   40895488			55.3
   41944064			55.3
   42992640			55.4
   44041216			55.4
   45089792			55.4
   46138368			55.4
   47186944			55.3
   48235520			55.4
   49284096			55.4
   50332672			55.5
   51381248			55.4
   52429824			55.4
   53478400			55.5
   54526976			55.4
   55575552			55.5
   56624128			55.3
   57672704			55.3
   58721280			55.3
   59769856			55.4
   60818432			55.3
   61867008			55.5
   62915584			55.4
   63964160			55.3
   65012736			55.4
   66061312			55.4
   67109888			55.5

 Device to Host Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1024				0.6
   1049600			48.7
   2098176			52.3
   3146752			53.2
   4195328			53.7
   5243904			54.1
   6292480			54.3
   7341056			54.4
   8389632			54.4
   9438208			54.7
   10486784			54.0
   11535360			54.3
   12583936			55.1
   13632512			55.0
   14681088			55.0
   15729664			55.0
   16778240			54.7
   17826816			55.1
   18875392			55.2
   19923968			55.2
   20972544			54.9
   22021120			55.0
   23069696			55.2
   24118272			55.2
   25166848			55.2
   26215424			55.3
   27264000			55.3
   28312576			55.3
   29361152			55.3
   30409728			55.2
   31458304			55.3
   32506880			55.3
   33555456			55.3
   34604032			55.3
   35652608			55.4
   36701184			55.4
   37749760			55.3
   38798336			55.3
   39846912			55.4
   40895488			55.4
   41944064			55.4
   42992640			55.4
   44041216			55.4
   45089792			55.4
   46138368			55.4
   47186944			55.4
   48235520			55.4
   49284096			55.4
   50332672			55.4
   51381248			55.4
   52429824			55.4
   53478400			55.4
   54526976			55.4
   55575552			55.4
   56624128			55.4
   57672704			55.4
   58721280			55.4
   59769856			55.5
   60818432			55.4
   61867008			55.4
   62915584			55.4
   63964160			55.5
   65012736			55.5
   66061312			55.5
   67109888			55.4

 Device to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1024				0.5
   1049600			199.2
   2098176			500.6
   3146752			962.1
   4195328			1264.3
   5243904			1617.1
   6292480			1907.5
   7341056			2094.9
   8389632			2321.1
   9438208			2497.2
   10486784			2664.7
   11535360			2824.9
   12583936			2940.4
   13632512			2980.2
   14681088			3032.1
   15729664			2945.7
   16778240			2815.7
   17826816			2638.5
   18875392			2342.5
   19923968			2147.6
   20972544			1981.7
   22021120			1912.9
   23069696			1909.6
   24118272			1854.4
   25166848			1870.0
   26215424			1877.3
   27264000			1849.5
   28312576			1808.6
   29361152			1741.5
   30409728			1682.6
   31458304			1599.5
   32506880			1555.8
   33555456			1541.2
   34604032			1538.5
   35652608			1540.7
   36701184			1550.7
   37749760			1544.9
   38798336			1558.8
   39846912			1558.0
   40895488			1565.4
   41944064			1573.6
   42992640			1575.8
   44041216			1585.3
   45089792			1593.4
   46138368			1593.4
   47186944			1600.0
   48235520			1599.8
   49284096			1608.5
   50332672			1610.3
   51381248			1613.2
   52429824			1616.5
   53478400			1627.8
   54526976			1628.2
   55575552			1630.2
   56624128			1638.8
   57672704			1641.1
   58721280			1644.5
   59769856			1650.0
   60818432			1650.2
   61867008			1656.2
   62915584			1655.4
   63964160			1657.5
   65012736			1656.9
   66061312			1663.4
   67109888			1667.0

Result = PASS

NOTE: The CUDA Samples are not meant for performance measurements. Results may vary when GPU Boost is enabled.
