[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: NVIDIA H100 PCIe
 Range Mode

 Host to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1024				0.1
   2048				0.8
   3072				1.3
   4096				1.7
   5120				2.1
   6144				2.4
   7168				2.8
   8192				2.8
   9216				3.4
   10240			3.4
   11264			4.1
   12288			4.4
   13312			4.6
   14336			5.1
   15360			5.4
   16384			5.6
   17408			5.8
   18432			6.0
   19456			5.7
   20480			6.8
   21504			6.6
   22528			6.9
   23552			7.0
   24576			7.0
   25600			7.4
   26624			7.7
   27648			7.7
   28672			8.0
   29696			8.2
   30720			8.3
   31744			8.6
   32768			8.9
   33792			9.4
   34816			9.7
   35840			10.1
   36864			10.0
   37888			9.8
   38912			10.3
   39936			10.3
   40960			10.4
   41984			10.4
   43008			10.8
   44032			10.5
   45056			10.4
   46080			10.9
   47104			11.2
   48128			11.6
   49152			11.3
   50176			11.8
   51200			11.8
   52224			11.8
   53248			12.3
   54272			12.0
   55296			12.9
   56320			12.4
   57344			12.6
   58368			12.6
   59392			12.7
   60416			12.4
   61440			12.7
   62464			13.7
   63488			13.7
   64512			14.1
   65536			14.5
   66560			14.0
   67584			13.8
   68608			14.0
   69632			14.3
   70656			14.4
   71680			14.5
   72704			14.5
   73728			14.5
   74752			14.7
   75776			15.1
   76800			17.2
   77824			15.2
   78848			15.3
   79872			15.4
   80896			15.7
   81920			15.6
   82944			15.9
   83968			15.7
   84992			15.9
   86016			16.1
   87040			16.1
   88064			16.0
   89088			17.2
   90112			16.1
   91136			16.3
   92160			15.9
   93184			18.0
   94208			16.6
   95232			16.6
   96256			16.9
   97280			17.4
   98304			16.7
   99328			19.1
   100352			16.8
   101376			17.6
   102400			19.4
   103424			17.3
   104448			18.2
   105472			19.4
   106496			17.4
   107520			17.7
   108544			17.8
   109568			17.6
   110592			17.7
   111616			19.6
   112640			21.2
   113664			18.2
   114688			18.1
   115712			19.3
   116736			22.0
   117760			21.7
   118784			18.3
   119808			19.3
   120832			18.3
   121856			20.8
   122880			22.8
   123904			18.7
   124928			19.1
   125952			18.4
   126976			21.7
   128000			19.2
   129024			19.2
   130048			19.3
   131072			22.1
   132096			24.2
   133120			20.4
   134144			19.6
   135168			22.3
   136192			19.7
   137216			19.3
   138240			23.0
   139264			19.6
   140288			23.7
   141312			19.9
   142336			20.3
   143360			22.5
   144384			20.2
   145408			21.6
   146432			20.6
   147456			20.7
   148480			20.6
   149504			21.3
   150528			20.6
   151552			22.7
   152576			20.7
   153600			20.2
   154624			23.9
   155648			20.9
   156672			22.6
   157696			20.8
   158720			21.1
   159744			23.0
   160768			26.7
   161792			21.2
   162816			24.4
   163840			21.4
   164864			22.2
   165888			20.8
   166912			21.6
   167936			27.2
   168960			21.2
   169984			21.5
   171008			24.7
   172032			21.6
   173056			21.8
   174080			27.8
   175104			24.3
   176128			27.2
   177152			21.9
   178176			25.4
   179200			22.1
   180224			23.8
   181248			22.2
   182272			23.4
   183296			29.1
   184320			22.1
   185344			29.0
   186368			22.3
   187392			26.3
   188416			23.4
   189440			22.4
   190464			22.5
   191488			25.7
   192512			22.6
   193536			26.1
   194560			22.6
   195584			25.4
   196608			22.8
   197632			29.1
   198656			22.4
   199680			26.7
   200704			22.8
   201728			23.0
   202752			27.7
   203776			23.0
   204800			27.9
   205824			22.7
   206848			23.0
   207872			23.3
   208896			24.9
   209920			24.3
   210944			23.9
   211968			23.2
   212992			29.6
   214016			24.3
   215040			23.4
   216064			29.2
   217088			26.2
   218112			23.4
   219136			26.1
   220160			23.4
   221184			30.1
   222208			23.9
   223232			31.0
   224256			23.6
   225280			23.6
   226304			23.5
   227328			28.8
   228352			23.8
   229376			31.2
   230400			28.4
   231424			28.4
   232448			23.9
   233472			29.0
   234496			24.0
   235520			28.4
   236544			26.9
   237568			24.4
   238592			24.0
   239616			29.1
   240640			24.3
   241664			29.8
   242688			25.7
   243712			24.2
   244736			30.1
   245760			25.0
   246784			32.0
   247808			26.1
   248832			24.5
   249856			24.3
   250880			30.4
   251904			24.1
   252928			31.8
   253952			27.6
   254976			24.2
   256000			31.9
   257024			26.6
   258048			32.6
   259072			27.2
   260096			25.7
   261120			32.0
   262144			26.1
   263168			24.7
   264192			25.5
   265216			26.6
   266240			25.1
   267264			27.1
   268288			28.9
   269312			25.5
   270336			24.7
   271360			27.4
   272384			25.1
   273408			34.3
   274432			28.7
   275456			25.5
   276480			34.8
   277504			30.3
   278528			26.5
   279552			25.0
   280576			32.4
   281600			28.2
   282624			31.1
   283648			29.4
   284672			26.6
   285696			25.2
   286720			31.2
   287744			31.6
   288768			35.1
   289792			29.6
   290816			26.4
   291840			29.6
   292864			27.2
   293888			32.5
   294912			28.8
   295936			26.4
   296960			25.8
   297984			27.0
   299008			25.6
   300032			34.9
   301056			30.5
   302080			28.0
   303104			26.6
   304128			25.9
   305152			26.4
   306176			25.5
   307200			35.2
   308224			30.2
   309248			27.5
   310272			26.6
   311296			27.5
   312320			29.9
   313344			28.2
   314368			31.8
   315392			29.0
   316416			30.7
   317440			36.0
   318464			28.7
   319488			27.6
   320512			30.8
   321536			34.2
   322560			33.2
   323584			29.0
   324608			28.1
   325632			27.1
   326656			26.7
   327680			26.7
   328704			28.3
   329728			27.6
   330752			27.1
   331776			27.0
   332800			31.6
   333824			31.6
   334848			35.1
   335872			32.1
   336896			30.6
   337920			29.5
   338944			28.4
   339968			28.2
   340992			28.5
   342016			31.4
   343040			29.5
   344064			28.4
   345088			29.9
   346112			29.6
   347136			29.6
   348160			32.5
   349184			36.4
   350208			28.3
   351232			29.4
   352256			29.5
   353280			29.0
   354304			29.1
   355328			29.3
   356352			29.5
   357376			29.5
   358400			30.2
   359424			30.2
   360448			29.8
   361472			30.9
   362496			30.9
   363520			36.2
   364544			34.0
   365568			27.9
   366592			28.7
   367616			34.5
   368640			33.8
   369664			32.2
   370688			35.1
   371712			33.3
   372736			33.6
   373760			32.8
   374784			32.2
   375808			37.9
   376832			35.7
   377856			29.1
   378880			31.5
   379904			32.0
   380928			37.1
   381952			34.3
   382976			33.3
   384000			35.9
   385024			34.9
   386048			29.1
   387072			30.6
   388096			31.7
   389120			32.1
   390144			33.9
   391168			33.9
   392192			33.4
   393216			33.3
   394240			33.9
   395264			29.6
   396288			32.0
   397312			32.2
   398336			34.0
   399360			39.1
   400384			31.7
   401408			33.8
   402432			33.7
   403456			34.2
   404480			34.9
   405504			34.8
   406528			36.5
   407552			31.0
   408576			36.9
   409600			34.5
   410624			29.7
   411648			31.8
   412672			29.9
   413696			30.9
   414720			32.4
   415744			32.9
   416768			29.3
   417792			32.9
   418816			39.3
   419840			36.7
   420864			36.1
   421888			36.4
   422912			36.7
   423936			39.6
   424960			38.5
   425984			37.6
   427008			31.5
   428032			37.3
   429056			39.4
   430080			32.5
   431104			34.2
   432128			35.1
   433152			30.0
   434176			31.9
   435200			30.7
   436224			33.0
   437248			34.6
   438272			34.6
   439296			31.2
   440320			35.2
   441344			36.4
   442368			31.6
   443392			39.0
   444416			39.6
   445440			35.6
   446464			37.4
   447488			38.3
   448512			39.2
   449536			32.7
   450560			39.1
   451584			32.3
   452608			35.3
   453632			37.4
   454656			38.5
   455680			39.3
   456704			34.0
   457728			35.8
   458752			37.7
   459776			38.9
   460800			32.5
   461824			32.9
   462848			36.8
   463872			38.6
   464896			39.4
   465920			40.0
   466944			40.8
   467968			36.7
   468992			32.9
   470016			35.3
   471040			37.8
   472064			33.4
   473088			31.7
   474112			32.2
   475136			39.6
   476160			37.9
   477184			38.9
   478208			39.8
   479232			33.0
   480256			31.4
   481280			35.1
   482304			38.3
   483328			39.8
   484352			32.7
   485376			36.0
   486400			32.1
   487424			40.9
   488448			35.7
   489472			33.6
   490496			39.2
   491520			40.9
   492544			41.7
   493568			31.9
   494592			35.5
   495616			39.7
   496640			41.9
   497664			32.3
   498688			36.1
   499712			37.4
   500736			40.6
   501760			38.5
   502784			41.2
   503808			32.4
   504832			36.0
