output_len,model_path,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
512,Qwen/Qwen3-1.7B,4997.0,639616.0,2558464.0,3.99,510.52,2042.07,2552.58,12155.01,4842.38,4637.73,5119.96,101299.96,680.62,51.75,48.86,64.9,20866.9,22.45,9.37,8.98,9.92,197.65,23.78,8.37,7.93,9.4,317.11
1024,Qwen/Qwen3-1.7B,4997.0,639616.0,5116928.0,3.97,508.04,4064.32,4572.36,15822.0,11956.84,11442.36,12467.85,66834.38,1233.55,53.38,50.06,61.06,26359.97,14.26,11.63,11.13,12.13,65.07,15.47,10.39,9.82,11.44,47.88
2048,Qwen/Qwen3-1.7B,4997.0,639616.0,10233856.0,2.26,289.78,4636.56,4926.34,539005.06,471876.44,273681.81,764968.59,1304965.22,312392.13,278263.06,166310.3,464557.97,620702.46,110.7,19.71,16.09,190.86,475.28,265.74,16.38,14.1,17.53,39.31
4096,Qwen/Qwen3-1.7B,4997.0,639616.0,20467712.0,0.59,75.22,2406.96,2482.18,4017286.0,3913295.86,2031251.06,5938103.71,8024384.76,2893195.09,2745050.06,1475327.18,4387097.91,5972080.32,274.5,14.47,13.26,322.12,1568.12,1007.1,14.42,11.73,16.53,31.85
8192,Qwen/Qwen3-1.7B,2737.0,350336.0,22421504.0,0.12,15.33,981.19,996.52,10880125.56,11131296.47,5257170.07,16178997.79,21388910.61,10021244.89,9932978.42,4026261.34,15740121.75,21287645.11,104.86,14.39,13.65,14.91,2223.85,1385.41,14.48,10.99,16.45,31.62
