model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.2-3B,4,5000,640000,640000,4.53,579.93,579.93,1159.86,551203.41,547450.90,277148.33,825568.10,1091419.46,550340.03,546582.89,276314.26,824687.89,1090572.18,6.80,6.86,6.64,6.91,7.01,4333.56,6.73,6.56,6.88,19.85
meta-llama/Llama-3.2-3B,2,5000,640000,640000,2.33,298.17,298.17,596.33,1079765.00,1081438.08,548014.46,1613060.62,2123539.83,1078923.45,1080595.09,547185.74,1612236.78,2122715.33,6.63,6.65,6.53,6.71,6.79,8486.50,6.55,6.44,6.69,19.30
meta-llama/Llama-3.2-3B,1,5000,640000,640000,1.19,152.41,152.41,304.83,2098940.04,2091595.34,1057842.17,3142038.98,4155050.25,2098115.68,2090732.74,1057033.23,3141221.49,4154234.91,6.49,6.44,6.40,6.56,6.78,16494.85,6.49,6.36,6.62,19.08
meta-llama/Llama-3.2-3B,2048,5000,640000,640000,103.73,13277.17,13277.17,26554.35,34556.45,38629.62,23962.72,41644.10,46477.24,19398.51,22410.99,7164.31,25846.05,39725.23,119.35,130.86,124.41,134.08,139.66,271.56,110.53,99.55,123.15,477.74
meta-llama/Llama-3.2-3B,1024,5000,640000,640000,101.91,13044.09,13044.09,26088.18,31107.70,32033.25,22772.30,40943.46,47355.47,22563.02,22761.19,13951.69,32026.56,41191.75,67.28,69.52,65.47,70.45,74.54,244.50,56.34,53.22,63.65,416.96
meta-llama/Llama-3.2-3B,512,5000,640000,640000,96.85,12396.89,12396.89,24793.78,30033.25,28998.34,18436.02,42405.85,50129.96,25548.15,23815.06,13653.10,37595.26,47027.49,35.32,36.55,33.79,38.90,41.90,239.75,30.84,27.01,34.68,291.53
meta-llama/Llama-3.2-3B,256,5000,640000,640000,89.08,11401.61,11401.61,22803.23,30831.33,30359.10,17711.57,42972.93,54330.90,28353.22,27851.63,15208.31,40490.76,52742.84,19.51,19.57,19.36,19.93,22.05,242.45,16.19,15.18,17.13,267.70
meta-llama/Llama-3.2-3B,128,5000,640000,640000,71.39,9137.69,9137.69,18275.37,37216.85,37196.69,21237.37,53350.36,67781.95,35647.44,35678.12,19662.15,51826.12,66333.95,12.36,12.37,11.99,12.59,13.70,305.14,10.99,10.64,11.42,134.67
meta-llama/Llama-3.2-3B,64,5000,640000,640000,47.40,6067.09,6067.09,12134.19,54579.12,55181.21,30021.98,79062.14,102902.27,53360.57,53990.55,28837.87,77867.21,101703.48,9.59,9.46,9.38,9.78,10.60,431.75,9.03,8.82,9.29,87.68
meta-llama/Llama-3.2-3B,32,5000,640000,640000,29.20,3737.99,3737.99,7475.97,87516.57,88136.31,47055.20,128659.38,167587.07,86489.11,87113.26,46028.67,127639.05,166569.01,8.09,8.04,8.01,8.20,9.05,689.96,7.81,7.62,7.97,44.03
meta-llama/Llama-3.2-3B,16,5000,640000,640000,16.49,2110.76,2110.76,4221.51,152903.77,153110.50,80498.51,225753.76,298572.40,151967.35,152196.95,79576.73,224837.62,297595.11,7.37,7.25,7.20,7.50,8.35,1203.94,7.14,7.00,7.37,21.87
meta-llama/Llama-3.2-3B,8,5000,640000,640000,8.85,1132.34,1132.34,2264.68,285332.88,286199.38,147098.29,423495.19,558126.14,284452.25,285338.97,146213.19,422613.37,557240.29,6.93,6.95,6.90,6.97,7.19,2244.70,6.86,6.71,6.98,20.41
meta-llama/Llama-3.2-3B,4,5000,640000,640000,4.66,596.78,596.78,1193.56,541050.46,541707.05,276782.42,806980.63,1060784.34,540210.52,540872.67,275946.16,806137.03,1059953.96,6.61,6.58,6.55,6.61,6.96,4253.79,6.53,6.40,6.69,19.38
