model_path,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.84,15038.94,469.97,15508.91,1217353.78,1220693.35,624661.99,1821788.87,2492443.61,1176128.73,1176392.73,584402.55,1762405.21,2340661.46,161.67,82.29,64.93,99.81,3921.07,4881.69,40.97,40.16,41.76,1055.83
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.84,15043.80,470.12,15513.92,1216747.17,1220037.60,624093.05,1820961.68,2491747.40,1175581.57,1175789.83,583877.50,1761652.87,2339996.33,161.43,82.18,64.08,99.65,3919.27,4843.33,40.97,40.13,41.78,795.87
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.84,15048.97,470.28,15519.25,1216551.69,1219510.55,623860.16,1819833.32,2490664.36,1175192.12,1175780.48,583969.86,1760821.53,2338832.43,162.19,82.39,65.01,100.66,3918.14,4833.80,40.98,40.24,41.68,1386.66
