model_path,max_num_seqs,mean_cc,min_cc,max_cc,std_dev_cc,cv_cc
meta-llama/Llama-3.1-8B,4,665.2,665.2,665.2,,
meta-llama/Llama-3.1-8B,8,1196.91,1196.91,1196.91,,
meta-llama/Llama-3.1-8B,16,2048.77,1889.69,2207.85,224.97309350231185,0.109808857754805
meta-llama/Llama-3.1-8B,32,3956.395,3596.99,4315.8,508.2754253847025,0.1284693326588226
meta-llama/Llama-3.1-8B,64,7798.7,7798.7,7798.7,,
meta-llama/Llama-3.1-8B,128,12092.47,12092.47,12092.47,,
meta-llama/Llama-3.1-8B,256,14031.12,14031.12,14031.12,,
