output_len,model_path,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
512,Qwen/Qwen3-1.7B,4997.0,639616.0,2558464.0,4.0,512.27,2049.06,2561.33,2134.29,2133.7,2060.58,2202.33,2409.31,29.67,27.7,25.87,30.51,50.7,4.12,4.12,3.97,4.25,4.66,4.17,3.83,3.67,3.96,19.95
1024,Qwen/Qwen3-1.7B,4997.0,639616.0,5116928.0,3.99,511.21,4089.68,4600.89,5007.13,4951.27,4810.03,5175.3,5878.18,31.09,29.16,27.09,32.16,51.23,4.86,4.81,4.67,5.03,5.72,4.89,4.45,4.21,4.82,21.19
2048,Qwen/Qwen3-1.7B,4997.0,639616.0,10233856.0,3.9,499.46,7991.29,8490.75,30444.23,25865.34,23644.49,30472.34,53502.76,50.42,47.31,42.39,54.48,84.95,14.85,12.61,11.53,14.86,26.11,14.93,12.08,9.84,17.51,43.35
4096,Qwen/Qwen3-1.7B,4997.0,639616.0,20467712.0,1.45,185.89,5948.5,6134.39,1244577.38,1149339.51,587637.76,1965361.69,2409785.91,504047.12,434561.98,238120.03,856634.6,1136439.41,180.84,145.69,40.68,284.8,497.79,318.49,39.58,33.07,44.89,86.6
8192,Qwen/Qwen3-1.7B,4997.0,639616.0,40935424.0,0.4,51.58,3300.9,3352.47,6377112.13,6712034.98,3785675.15,8963982.04,11514050.6,1969142.72,1872403.83,534336.36,3417026.36,4599993.85,538.15,549.43,294.44,772.76,1298.04,806.44,40.08,35.7,43.55,80.92
