model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,32,5000,640000,640000,10.34,1324.12,1324.12,2648.23,242933.18,243680.49,125450.63,363748.04,476255.38,240127.25,240762.12,122554.47,360828.93,473479.16,,,21.75,22.99,23.71,1933.24,21.50,18.98,25.21,175.46
meta-llama/Llama-3.1-8B,16,5000,640000,640000,5.52,706.02,706.02,1412.05,454715.39,454762.38,230063.19,680201.14,896614.62,451951.32,451989.36,227239.12,677446.34,893836.91,,,21.65,22.13,23.07,3615.87,21.04,18.82,24.58,112.30
meta-llama/Llama-3.1-8B,8,5000,640000,640000,2.90,370.57,370.57,741.15,864829.03,864085.68,431746.29,1297448.03,1709137.97,862171.16,861446.54,429077.26,1294674.49,1706461.79,,,20.87,21.29,22.01,6861.30,20.55,18.61,23.89,64.05
meta-llama/Llama-3.1-8B,4,5000,640000,640000,1.48,189.30,189.30,378.59,1695883.87,1697263.09,851272.00,2541599.66,3348862.25,1693249.70,1694585.89,848641.26,2538996.24,3346283.30,,,20.60,21.02,22.81,13475.20,20.47,18.48,23.61,64.00
