model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,2048,5000,640000,640000,67.74,8671.14,8671.14,17342.28,50752.78,53336.96,30849.35,65069.50,72699.67,29093.79,32201.04,8705.81,37505.83,58154.33,,,138.44,175.08,421.60,676.87,149.54,112.12,200.54,9816.44
meta-llama/Llama-3.1-8B,1024,5000,640000,640000,68.43,8758.52,8758.52,17517.04,43768.92,44740.73,30312.82,58780.26,71894.62,32882.61,32631.34,17857.92,47540.66,62405.88,,,75.26,97.83,111.40,503.86,72.95,63.53,83.51,8413.93
meta-llama/Llama-3.1-8B,512,5000,640000,640000,64.88,8304.29,8304.29,16608.59,42786.39,39952.98,25165.20,62294.69,75616.23,37127.90,34589.61,19087.46,55878.65,71281.90,,,41.93,51.06,58.52,408.47,37.91,32.79,43.90,1835.38
meta-llama/Llama-3.1-8B,256,5000,640000,640000,55.67,7125.76,7125.76,14251.52,46837.31,45333.05,23848.36,67433.54,88218.05,43518.63,41947.22,20535.86,63997.20,85649.91,,,25.98,28.67,34.65,399.47,24.41,22.16,27.16,585.43
meta-llama/Llama-3.1-8B,128,5000,640000,640000,41.72,5340.22,5340.22,10680.45,60928.49,60648.53,31102.53,90453.35,117120.33,58561.83,58177.30,28765.79,87964.12,114692.51,,,18.50,19.63,23.10,497.74,17.71,16.94,20.15,283.34
meta-llama/Llama-3.1-8B,64,5000,640000,640000,25.94,3320.10,3320.10,6640.21,95934.80,95569.23,48948.66,142557.16,189611.03,93812.36,93247.43,46930.40,140321.78,187426.98,,,16.25,17.66,18.88,773.14,15.62,15.10,18.10,211.13
meta-llama/Llama-3.1-8B,32,5000,640000,640000,15.35,1965.34,1965.34,3930.68,161217.95,160768.39,80461.90,242437.51,320764.62,159299.28,158762.61,78639.90,240430.74,318756.57,,,14.93,15.80,16.48,1295.29,14.24,13.74,14.96,84.75
meta-llama/Llama-3.1-8B,16,5000,640000,640000,8.42,1077.71,1077.71,2155.42,295408.43,293905.27,147636.36,444315.48,586905.13,293634.28,292139.09,145853.45,442469.41,585105.72,,,13.88,14.37,15.21,2360.74,13.64,13.15,14.18,45.09
meta-llama/Llama-3.1-8B,8,5000,640000,640000,4.63,592.62,592.62,1185.24,536063.28,533999.29,265908.76,803996.43,1067909.12,534402.43,532339.88,264269.19,802278.58,1066185.24,,,12.93,13.41,14.37,4266.97,13.00,12.59,13.46,40.16
