output_len,model_path,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
512,Qwen/Qwen3-1.7B,4997.0,639616.0,2558464.0,4.0,512.09,2048.37,2560.46,1950.31,1944.33,1897.84,1997.26,2148.95,22.15,21.23,20.35,22.26,33.32,3.77,3.76,3.67,3.87,4.16,3.81,3.6,3.47,3.75,12.92
1024,Qwen/Qwen3-1.7B,4997.0,639616.0,5116928.0,3.99,511.16,4089.28,4600.43,4549.71,4518.46,4383.55,4698.96,5273.5,22.64,21.88,20.75,22.99,34.51,4.43,4.4,4.26,4.57,5.13,4.45,4.22,4.02,4.46,13.09
2048,Qwen/Qwen3-1.7B,4997.0,639616.0,10233856.0,3.86,494.32,7909.06,8403.38,24540.19,20394.3,18586.36,25261.31,57991.81,3656.02,31.22,27.52,2880.07,27663.4,10.2,9.76,8.98,10.21,22.36,12.0,9.36,8.48,10.25,14.67
4096,Qwen/Qwen3-1.7B,4997.0,639616.0,20467712.0,1.02,130.44,4173.94,4304.37,2011052.79,1958241.71,978647.31,3534767.51,4102952.57,1377753.92,1372386.66,637280.47,2089623.38,2824144.43,154.65,9.12,7.94,284.5,708.47,495.92,8.91,7.07,10.16,13.3
8192,Qwen/Qwen3-1.7B,639.0,81792.0,5234688.0,0.22,28.16,1802.49,1830.66,1324679.92,1286075.72,745247.15,1982583.51,2563718.38,941683.0,792241.98,167133.62,1697367.29,2452797.43,46.76,9.24,8.59,40.93,284.89,165.93,9.62,7.57,10.38,13.99
