output_len,model_path,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
512,Qwen/Qwen3-1.7B,4997.0,639616.0,2558464.0,4.0,511.76,2047.02,2558.78,3248.0,3233.26,3132.62,3353.75,3771.66,47.05,43.75,40.89,47.49,76.16,6.26,6.24,6.04,6.47,7.28,6.35,5.54,5.32,5.78,32.3
1024,Qwen/Qwen3-1.7B,4997.0,639616.0,5116928.0,3.99,510.1,4080.79,4590.88,7575.68,7614.12,7214.44,7909.45,8941.37,49.22,45.96,43.23,49.84,77.86,7.36,7.39,7.0,7.68,8.69,7.4,6.48,5.9,7.22,33.24
2048,Qwen/Qwen3-1.7B,4997.0,639616.0,10233856.0,3.75,480.02,7680.35,8160.37,92328.54,96955.53,89071.45,105261.34,128800.42,965.26,106.55,89.27,126.71,22687.85,44.63,47.18,43.45,50.81,61.04,47.27,38.27,30.12,48.55,319.38
4096,Qwen/Qwen3-1.7B,4997.0,639616.0,20467712.0,1.19,152.81,4889.94,5042.75,1692401.99,1583812.74,808454.0,2560350.37,3303863.56,748560.01,753265.27,370795.07,1200674.89,1684581.44,230.49,255.86,47.17,377.55,613.99,434.09,44.3,38.03,51.41,113.16
8192,Qwen/Qwen3-1.7B,4997.0,639616.0,40935424.0,0.38,48.25,3088.22,3136.48,6819686.42,7274558.39,3525588.69,10516015.04,12501637.5,2518924.53,2169425.7,1240832.43,4191510.08,4973266.73,525.06,541.38,71.04,806.11,1295.61,858.24,41.26,36.21,45.49,85.51
