model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.2-3B,4,5000,640000,640000,5.21,667.04,667.04,1334.07,480631.79,480343.85,241416.45,719067.82,949334.93,479875.52,479591.67,240658.06,718312.66,948591.66,5.95,5.96,5.94,5.98,6.04,3778.23,5.94,5.85,6.01,17.63
meta-llama/Llama-3.2-3B,2,5000,640000,640000,2.68,343.09,343.09,686.18,933743.97,933875.30,466725.69,1400270.69,1845850.75,933007.24,933131.97,465985.92,1399539.21,1845119.51,5.80,5.82,5.74,5.84,5.91,7338.52,5.80,5.70,5.90,17.18
meta-llama/Llama-3.2-3B,1,5000,640000,640000,1.35,173.02,173.02,346.04,1850928.05,1851366.79,927008.75,2775017.04,3661023.83,1850197.02,1850632.33,926279.97,2774292.39,3660292.82,5.76,5.75,5.75,5.76,5.82,14544.85,5.75,5.68,5.83,17.13
meta-llama/Llama-3.1-8B,2048,5000,640000,640000,67.38,8624.46,8624.46,17248.93,52678.63,58919.33,34322.62,65426.21,73082.73,29853.22,33048.69,9560.50,41207.34,64429.30,179.73,194.50,190.35,203.61,257.62,414.99,137.05,105.59,211.45,646.66
meta-llama/Llama-3.1-8B,1024,5000,640000,640000,71.96,9210.41,9210.41,18420.82,44006.23,45127.03,30480.16,59776.51,68405.23,31514.61,31933.90,17279.26,46550.41,60870.88,98.36,103.80,100.64,104.04,104.99,346.67,68.08,60.60,71.66,402.26
meta-llama/Llama-3.1-8B,512,5000,640000,640000,69.06,8840.20,8840.20,17680.41,41608.70,40131.77,25028.46,59502.47,71302.85,35055.92,33371.96,18307.53,52805.85,67519.41,51.60,52.98,52.69,53.16,54.90,327.78,36.94,35.91,38.18,328.68
meta-llama/Llama-3.1-8B,256,5000,640000,640000,63.24,8094.38,8094.38,16188.75,42718.89,42022.43,23320.98,60952.50,77985.10,39185.60,38493.03,19705.35,57408.58,75757.49,27.82,27.91,27.74,28.60,30.66,336.53,21.02,20.37,21.68,306.92
meta-llama/Llama-3.1-8B,128,5000,640000,640000,48.53,6211.42,6211.42,12422.85,53352.62,53160.66,28496.87,78157.85,100592.56,51100.52,50944.36,26229.70,75943.50,98621.76,17.73,17.69,17.44,17.86,19.68,428.33,15.30,15.03,15.56,307.85
meta-llama/Llama-3.1-8B,64,5000,640000,640000,31.90,4083.78,4083.78,8167.55,79895.30,80726.01,42056.34,117405.75,154195.43,78095.14,78965.93,40297.18,115628.06,152426.89,14.17,13.99,13.90,14.49,15.25,630.64,13.13,12.98,13.32,181.83
meta-llama/Llama-3.1-8B,32,5000,640000,640000,19.31,2472.28,2472.28,4944.56,130715.21,131232.19,68046.78,194639.23,254759.30,129213.15,129738.81,66527.92,193142.17,253261.53,11.83,11.78,11.74,11.79,12.74,1031.22,11.74,11.61,11.88,35.33
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.71,1371.16,1371.16,2742.31,234914.04,235278.30,120172.22,350453.85,461316.53,233488.47,233861.17,118743.35,349032.96,459897.06,11.22,11.17,11.16,11.19,11.61,1851.77,11.15,10.99,11.31,33.57
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.69,728.89,728.89,1457.77,438492.00,437668.52,221518.42,654530.53,868248.34,437116.59,436302.78,220145.82,653162.81,866825.70,10.83,10.77,10.74,10.86,11.30,3455.91,10.75,10.60,10.94,32.17
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.93,374.44,374.44,748.89,854584.52,854192.41,428814.08,1280026.83,1691767.25,853232.89,852843.12,427461.50,1278674.72,1690421.43,10.64,10.62,10.61,10.64,10.92,6734.47,10.63,10.45,10.79,31.81
meta-llama/Llama-3.1-8B,2,5000,640000,640000,1.48,189.83,189.83,379.66,1688998.48,1690130.92,850896.57,2528546.56,3336690.08,1687663.37,1688804.12,849562.09,2527213.25,3335333.81,10.51,10.49,10.46,10.51,10.74,13309.39,10.50,10.35,10.66,31.46
meta-llama/Llama-3.1-8B,1,5000,640000,640000,0.75,95.87,95.87,191.74,3337732.71,3337362.07,1668572.84,5006272.00,6607863.36,3336409.92,3336043.56,1667256.98,5004950.94,6606543.32,10.42,10.40,10.39,10.43,10.66,26297.84,10.41,10.28,10.55,31.18
meta-llama/Llama-3.2-3B,2048,5000,640000,640000,111.26,14241.47,14241.47,28482.93,32023.88,36146.77,21967.73,39068.78,43864.68,17677.67,19623.65,6060.49,24039.44,37523.74,112.96,123.51,117.96,126.58,130.72,251.62,95.09,83.66,137.38,457.25
meta-llama/Llama-3.2-3B,1024,5000,640000,640000,107.63,13777.07,13777.07,27554.14,29633.25,30312.26,22029.92,40386.76,45376.54,21970.24,22244.40,13346.09,32514.70,40927.17,60.34,63.53,61.13,68.67,79.38,239.58,57.77,46.74,64.22,365.62
meta-llama/Llama-3.2-3B,512,5000,640000,640000,110.15,14098.97,14098.97,28197.94,26220.61,25102.78,16391.33,37064.50,44088.29,22182.69,20974.96,12263.33,32968.58,41561.48,31.79,32.51,32.34,32.66,34.32,206.02,24.86,21.74,26.40,322.52
meta-llama/Llama-3.2-3B,256,5000,640000,640000,100.92,12917.28,12917.28,25834.55,27070.45,26613.18,15271.50,38066.36,48285.00,24861.02,24412.75,13021.54,35861.55,46923.86,17.40,17.48,17.29,17.70,19.48,212.79,14.27,13.60,14.92,164.94
meta-llama/Llama-3.2-3B,128,5000,640000,640000,78.70,10073.74,10073.74,20147.48,33457.31,33376.72,18727.31,48227.56,61477.52,32042.08,32002.93,17309.91,46852.14,60195.30,11.14,11.06,10.80,11.19,13.40,268.89,9.99,9.71,10.29,142.17
meta-llama/Llama-3.2-3B,64,5000,640000,640000,53.42,6837.62,6837.62,13675.23,48447.30,48942.46,26589.08,70280.55,91509.87,47378.91,47854.06,25541.68,69226.82,90476.74,8.41,8.29,8.26,8.58,9.39,383.34,7.98,7.81,8.17,86.85
meta-llama/Llama-3.2-3B,32,5000,640000,640000,33.46,4282.87,4282.87,8565.74,76466.14,77044.83,40946.30,112678.22,146621.85,75568.13,76152.96,40049.18,111799.09,145729.17,7.07,7.03,6.99,7.15,7.78,602.39,6.83,6.71,6.96,40.19
meta-llama/Llama-3.2-3B,16,5000,640000,640000,18.60,2381.06,2381.06,4762.11,135832.00,135939.34,70270.36,201953.59,265210.47,135008.16,135096.69,69446.94,201135.16,264390.44,6.49,6.46,6.45,6.50,6.91,1068.90,6.42,6.30,6.56,19.37
meta-llama/Llama-3.2-3B,8,5000,640000,640000,10.16,1301.05,1301.05,2602.10,247576.36,247569.59,126383.54,369149.69,486076.60,246806.62,246802.11,125610.54,368379.66,485303.20,6.06,6.06,6.04,6.08,6.14,1947.08,6.02,5.93,6.11,17.94
meta-llama/Llama-3.2-3B,4,5000,640000,640000,5.19,664.79,664.79,1329.59,484501.49,486919.93,244786.33,724665.41,952368.66,483742.84,486157.41,244025.95,723919.45,951607.07,5.97,5.99,5.89,6.01,6.30,3808.82,5.96,5.84,6.04,17.56
meta-llama/Llama-3.2-3B,2,5000,640000,640000,2.65,338.59,338.59,677.18,943495.64,943935.83,472563.95,1411619.22,1869291.86,942749.29,943190.69,471823.94,1410873.28,1868510.30,5.88,5.85,5.83,5.87,6.18,7414.93,5.86,5.77,5.96,17.39
meta-llama/Llama-3.2-3B,1,5000,640000,640000,1.35,173.03,173.03,346.07,1852481.58,1852801.03,928790.31,2776259.60,3661165.70,1851750.65,1852068.44,928057.52,2775528.43,3660448.46,5.76,5.76,5.74,5.78,5.86,14557.03,5.75,5.67,5.84,17.04
