model_path,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.67,13665.54,427.05,14092.58,1356642.71,1341719.63,690022.11,2025493.21,2664811.98,1321172.63,1319601.15,665514.73,1979831.10,2616005.88,139.10,84.12,66.44,101.73,849.02,5449.35,49.55,48.34,51.01,357.63
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.67,13678.41,427.45,14105.86,1353209.18,1337719.03,687027.48,2020536.16,2662565.77,1317443.16,1315382.06,661830.94,1975018.14,2613413.30,140.26,85.39,67.70,103.08,847.71,5448.21,49.54,48.33,50.95,356.75
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.68,13733.66,429.18,14162.83,1347135.38,1330628.16,684339.63,2012008.52,2650555.50,1311531.56,1308076.21,659220.01,1966990.91,2601458.66,139.62,85.05,67.40,102.58,846.56,5454.13,49.10,47.91,50.65,427.94
