model_path,max_num_seqs,mean_cc,min_cc,max_cc,std_dev_cc,cv_cc
meta-llama/Llama-3.1-8B,512,4156.97,4156.97,4156.97,,
meta-llama/Llama-3.1-8B,1024,3847.5,3847.5,3847.5,,
meta-llama/Llama-3.1-8B,2048,3694.28,3694.28,3694.28,,
meta-llama/Llama-3.1-8B,4096,3462.25,3462.25,3462.25,,
