model_path,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.74,14223.77,444.49,14668.26,1301115.14,1301603.96,664094.29,1941558.97,2558636.36,1271593.52,1272136.25,634789.64,1912482.33,2528291.95,115.77,112.71,111.73,113.28,119.05,5322.23,57.05,41.68,208.59,471.02
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.73,14152.76,442.27,14595.03,1309901.16,1310696.73,672281.54,1952494.33,2574150.34,1281140.50,1282102.90,643478.91,1923834.53,2545475.22,112.79,113.16,112.65,113.64,119.35,5361.58,58.51,42.63,205.80,433.22
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.73,14201.32,443.79,14645.11,1306400.68,1308016.69,668869.78,1948094.41,2563042.24,1277744.51,1279164.28,640063.29,1919461.31,2535028.91,112.38,113.02,112.24,113.51,118.90,5323.21,57.76,42.37,205.95,420.07
