model_path,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.84,15073.01,471.03,15544.04,1214933.10,1219480.52,623853.45,1817764.54,2485879.43,1173979.12,1175460.40,583594.06,1758890.50,2333948.09,160.60,81.51,63.62,99.28,3920.82,4908.89,40.94,40.06,41.78,1387.88
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.84,15076.23,471.13,15547.36,1214518.04,1218494.31,624453.76,1815966.84,2485411.32,1173400.46,1174386.65,584221.50,1756849.89,2333448.52,161.25,82.14,64.82,99.56,3920.02,4847.93,40.90,40.12,41.71,1036.78
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.84,15047.70,470.24,15517.94,1216946.33,1220800.11,624430.59,1820960.98,2490663.72,1175749.36,1176518.43,584184.66,1761677.46,2338827.33,161.56,82.31,65.00,99.74,3924.45,4951.43,40.94,40.06,41.74,1062.64
