model_path,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.84,15032.47,469.76,15502.24,1217963.65,1220957.89,625057.30,1821485.83,2493008.34,1176420.92,1177186.39,585201.68,1762565.82,2340582.72,162.91,83.66,66.32,101.08,3925.68,4864.58,41.08,40.51,41.85,1145.76
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.84,15033.25,469.79,15503.04,1217530.79,1221006.61,624925.89,1821839.64,2492628.04,1176281.35,1176732.12,584636.34,1762470.00,2340526.25,161.76,82.38,65.06,99.80,3925.67,4856.02,41.09,40.57,41.81,985.39
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.83,15028.41,469.64,15498.05,1218621.89,1221697.11,625240.12,1822610.87,2494167.50,1177067.15,1177886.67,585280.04,1763654.76,2341868.25,162.96,83.71,66.31,101.08,3926.10,4872.85,41.09,40.52,41.82,1393.47
