model_path,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.69,13864.18,433.26,14297.44,1342754.80,1346005.81,691066.36,2002355.12,2632390.12,1312953.77,1316001.57,660345.69,1972678.32,2603365.74,116.87,117.13,116.37,118.13,120.81,5404.76,56.61,49.55,208.07,418.15
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.69,13811.18,431.60,14242.78,1346365.04,1348534.33,691324.52,2006780.66,2643526.34,1316453.29,1318503.39,661588.51,1976720.32,2613894.37,117.30,117.81,117.18,118.29,120.66,5399.16,56.80,49.90,207.89,401.65
meta-llama/Llama-3.1-8B,5000,40960000,1280000,1.69,13818.76,431.84,14250.60,1343766.16,1343188.22,688820.81,2004446.25,2641705.06,1313859.50,1313034.10,659139.34,1974489.88,2612001.20,117.28,117.62,117.28,118.28,120.93,5425.19,57.06,49.90,207.61,410.23
