model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.2-3B,2,5000,640000,640000,2.94,376.96,376.96,753.91,848845.73,848143.48,425360.37,1272377.92,1679645.22,848188.51,847484.22,424700.95,1271718.31,1678984.94,,,5.19,5.19,5.23,6721.83,5.19,5.09,5.30,15.60
meta-llama/Llama-3.2-3B,1,5000,640000,640000,1.51,193.21,193.21,386.41,1655441.44,1654100.03,828296.81,2482649.04,3278168.44,1654798.86,1653456.49,827653.64,2482005.70,3277524.88,,,5.07,5.07,5.18,13102.78,5.06,4.99,5.16,15.23
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2048,5000,640000,640000,105.29,13476.64,13476.64,26953.28,32814.73,37568.68,21123.48,37863.26,46476.59,18953.96,21166.38,6142.37,24404.72,39602.52,,,102.91,119.55,265.24,439.85,100.18,68.62,125.52,6162.90
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1024,5000,640000,640000,106.13,13584.82,13584.82,27169.63,28515.39,28998.68,19946.75,38006.52,46184.19,21288.26,21078.48,11660.02,30624.21,40116.62,,,49.73,64.04,71.93,379.53,49.62,45.27,52.65,11659.62
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,512,5000,640000,640000,101.31,12968.29,12968.29,25936.58,27583.84,25999.10,16359.68,39837.82,48177.34,23788.17,22184.52,12305.31,35564.28,45303.70,,,27.59,34.43,39.02,293.73,25.38,22.48,28.95,6006.33
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,256,5000,640000,640000,81.53,10435.81,10435.81,20871.62,31914.19,30656.52,16105.24,46007.96,60247.89,29476.08,28107.19,13942.68,43353.34,58889.49,,,18.59,22.15,25.00,274.37,17.39,15.74,19.86,553.53
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,128,5000,640000,640000,72.41,9268.90,9268.90,18537.79,35576.83,35479.16,18739.85,52280.50,67412.49,34195.58,33992.83,17375.40,50799.83,66057.70,,,10.74,11.77,13.08,288.95,10.26,10.02,10.54,146.69
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,64,5000,640000,640000,49.88,6384.12,6384.12,12768.23,51044.84,51175.52,26970.17,75080.14,98513.45,49979.10,49971.17,25885.76,73991.75,97438.86,,,8.54,8.61,9.50,408.73,8.26,8.06,8.50,36.21
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,32,5000,640000,640000,30.32,3881.40,3881.40,7762.79,83227.23,83405.45,43199.61,123617.74,162087.44,82271.83,82415.24,42210.72,122626.43,161114.28,,,7.64,7.79,7.82,659.10,7.34,7.20,7.51,48.05
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,16,5000,640000,640000,16.78,2147.34,2147.34,4294.69,149669.50,149790.42,76274.20,223358.07,294072.42,148778.17,148889.80,75372.86,222457.39,293171.24,,,7.08,7.13,7.26,1179.01,6.97,6.84,7.09,23.25
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,8,5000,640000,640000,9.16,1172.31,1172.31,2344.62,273575.00,273379.41,138030.54,409200.48,539512.05,272746.51,272542.89,137194.86,408364.44,538676.85,,,6.57,6.58,6.60,2153.35,6.58,6.47,6.69,9.77
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,4,5000,640000,640000,4.71,602.30,602.30,1204.61,531712.33,531507.96,267167.24,796633.18,1051206.02,530893.00,530685.30,265956.65,795809.74,1050382.92,,,6.47,6.48,6.64,4187.96,6.48,6.35,6.61,11.72
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2,5000,640000,640000,2.38,304.23,304.23,608.46,1052017.06,1051347.36,527144.14,1577178.22,2081438.04,1051204.14,1050532.57,526449.81,1576363.60,2080622.86,,,6.41,6.42,6.55,8281.02,6.42,6.31,6.53,12.12
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1,5000,640000,640000,1.22,156.03,156.03,312.06,2050140.55,2049494.85,1025272.44,3075013.17,4059500.62,2049346.51,2048700.24,1024690.60,3074218.59,4058706.06,,,6.26,6.26,6.64,16151.03,6.26,6.15,6.37,12.46
