model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.2-3B,4,5000,640000,640000,4.54,581.48,581.48,1162.95,554903.86,555294.34,283059.06,828208.55,1088585.79,554041.98,554435.70,282184.58,827352.51,1087728.94,6.79,6.76,6.71,6.81,7.12,4361.88,6.71,6.57,6.86,19.91
meta-llama/Llama-3.2-3B,2,5000,640000,640000,2.34,300.05,300.05,600.09,1065367.05,1065301.23,535043.62,1592613.86,2110232.48,1064530.32,1064476.66,534212.82,1591775.13,2109397.99,6.59,6.56,6.49,6.62,6.91,8373.34,6.57,6.44,6.73,19.42
meta-llama/Llama-3.2-3B,1,5000,640000,640000,1.18,150.70,150.70,301.39,2118034.43,2115006.53,1059656.50,3172040.18,4202992.24,2117201.51,2114185.31,1058820.34,3171174.70,4202156.94,6.56,6.51,6.47,6.57,6.90,16643.86,6.53,6.41,6.70,19.29
meta-llama/Llama-3.1-8B,2048,5000,640000,640000,64.22,8220.26,8220.26,16440.53,54924.78,61048.81,36004.42,67754.98,76369.38,31224.07,34662.87,10675.70,42508.30,66465.13,186.62,200.57,197.65,207.79,265.42,432.79,150.26,128.40,191.11,777.45
meta-llama/Llama-3.1-8B,1024,5000,640000,640000,68.56,8776.21,8776.21,17552.42,46305.45,47130.97,32401.01,62192.06,71415.17,33266.81,33504.19,19512.33,48466.17,63174.30,102.67,107.25,103.63,107.99,119.82,364.86,73.24,70.41,83.99,483.55
meta-llama/Llama-3.1-8B,512,5000,640000,640000,65.79,8421.52,8421.52,16843.03,43778.25,42184.70,26622.06,62300.62,74490.34,36924.18,35119.37,19644.96,55340.79,70455.70,53.97,55.13,54.89,55.55,58.93,344.87,39.14,37.80,40.37,366.17
meta-llama/Llama-3.1-8B,256,5000,640000,640000,59.00,7552.54,7552.54,15105.08,46178.77,45476.03,25891.00,65294.24,83138.44,42420.64,41784.36,22017.58,61544.65,80754.11,29.59,29.53,29.37,30.49,32.23,363.80,22.58,21.51,23.44,319.18
meta-llama/Llama-3.1-8B,128,5000,640000,640000,44.99,5758.79,5758.79,11517.59,57865.83,57714.74,31473.79,84289.92,108134.71,55410.02,55329.26,29014.69,81888.43,105993.65,19.34,19.24,18.91,19.45,21.48,467.90,16.72,16.31,17.16,296.40
meta-llama/Llama-3.1-8B,64,5000,640000,640000,29.36,3757.80,3757.80,7515.61,86980.46,87759.35,46246.12,127606.03,167242.07,85015.80,85787.38,44314.63,125647.74,165257.27,15.47,15.41,15.32,15.55,16.89,687.16,14.35,14.05,14.65,160.99
meta-llama/Llama-3.1-8B,32,5000,640000,640000,17.68,2263.39,2263.39,4526.78,143615.31,144320.46,75844.59,212730.81,277932.11,141933.55,142680.30,74160.68,211073.31,276269.87,13.24,13.08,13.02,13.62,14.32,1133.51,12.89,12.65,13.09,45.37
meta-llama/Llama-3.1-8B,16,5000,640000,640000,9.76,1249.30,1249.30,2498.60,256700.26,256862.11,131510.85,381559.16,505925.16,255134.24,255328.68,129964.60,379966.23,504344.09,12.33,12.22,12.11,12.53,13.14,2023.96,12.15,11.97,12.48,37.17
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.20,665.56,665.56,1331.11,479319.92,476260.39,241898.53,717183.24,950710.76,477814.44,474795.15,240427.27,715625.76,949179.60,11.85,11.80,11.61,12.09,12.31,3778.36,11.74,11.49,12.02,35.15
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.68,343.51,343.51,687.02,933797.51,933899.19,469465.88,1398147.44,1843697.79,932327.39,932430.67,468003.48,1396677.20,1842232.92,11.58,11.58,11.56,11.60,11.69,7359.64,11.54,11.31,11.76,34.53
meta-llama/Llama-3.1-8B,2,5000,640000,640000,1.36,173.57,173.57,347.15,1846306.73,1849408.02,926990.67,2765897.22,3649026.70,1844851.24,1847931.15,925544.45,2764430.15,3647580.28,11.46,11.39,11.34,11.63,11.79,14549.35,11.46,11.22,11.69,34.19
meta-llama/Llama-3.1-8B,1,5000,640000,640000,0.68,87.48,87.48,174.96,3658837.23,3658949.12,1833793.40,5483772.34,7241746.90,3657394.26,3657508.65,1832345.99,5482341.24,7240318.63,11.36,11.36,11.32,11.42,11.58,28827.81,11.36,11.15,11.57,34.03
meta-llama/Llama-3.2-3B,2048,5000,640000,640000,95.52,12226.72,12226.72,24453.44,36985.21,42361.41,26267.32,44056.66,50417.75,21694.73,24564.29,7504.85,27294.55,47304.75,120.40,139.96,131.99,147.14,153.59,303.43,126.44,115.47,141.10,556.41
meta-llama/Llama-3.2-3B,1024,5000,640000,640000,84.01,10753.54,10753.54,21507.08,37230.72,41216.82,27044.15,47324.15,57997.09,28153.42,29143.07,17184.00,42165.13,49753.87,71.47,77.14,66.09,93.53,98.36,322.64,72.76,62.32,82.56,509.96
meta-llama/Llama-3.2-3B,512,5000,640000,640000,90.89,11633.97,11633.97,23267.95,30968.46,28978.66,18054.21,45657.89,53437.95,26142.98,22976.93,13603.15,40018.51,48886.50,38.00,38.18,35.04,44.69,47.98,252.65,35.25,28.11,40.44,295.99
meta-llama/Llama-3.2-3B,256,5000,640000,640000,90.29,11557.27,11557.27,23114.53,30719.80,30564.84,17721.16,42407.41,53317.47,28254.20,28344.82,15252.16,39915.79,51822.13,19.41,19.40,18.74,20.14,24.84,242.35,17.05,16.11,18.27,272.73
meta-llama/Llama-3.2-3B,128,5000,640000,640000,69.85,8941.03,8941.03,17882.07,38028.26,38078.84,21916.62,54254.73,68714.94,36428.10,36529.69,20363.44,52649.96,67247.36,12.60,12.50,12.16,12.86,14.39,310.01,11.18,10.83,11.66,132.65
meta-llama/Llama-3.2-3B,64,5000,640000,640000,46.61,5966.64,5966.64,11933.28,55225.03,55678.71,30741.02,79568.58,104360.20,53987.36,54463.73,29529.02,78340.95,103145.60,9.75,9.59,9.52,10.06,10.89,436.72,9.11,8.84,9.54,72.60
meta-llama/Llama-3.2-3B,32,5000,640000,640000,27.56,3528.22,3528.22,7056.44,93038.49,94012.03,50365.23,136609.21,177234.68,91973.47,92974.01,49273.12,135561.22,176178.75,8.39,8.36,8.26,8.49,9.05,733.67,8.21,8.02,8.45,26.49
